0.6234,-94684,-6595978,-6769066,-173088,21.7
0.4000,-106002,-6420296,-6487903,-67607,22.79
0.6216,-53660,-3677935,-3781309,-103374,12.94
0.6364,-40730,-2913298,-2949827,-36529,13.89
0.6429,-77976,-5221588,-5321875,-100287,23.2
0.5789,-115805,-8004292,-8134820,-130528,28.31
0.4146,-70384,-4836016,-4989138,-153122,16.94
0.6471,-56571,-3903486,-3942702,-39216,14.78
0.5738,-97061,-6759688,-6817650,-57962,21.19
0.5965,-77396,-5355638,-5462623,-106985,20.69
0.5000,-110239,-7622605,-7771696,-149091,24.51
0.6333,-82872,-5751182,-5828321,-77139,23.15
0.8235,-79847,-5521345,-5584080,-62735,21.2
0.5579,-122116,-8153925,-8337518,-183593,29.01
0.4043,-91930,-5944977,-6086156,-141179,23.85
0.6061,-99984,-6759013,-6913893,-154880,26.18
0.5802,-110954,-7574640,-7753221,-178581,28.41
0.6000,-60624,-4052263,-4122085,-69822,14.78
0.6579,-50215,-3428358,-3485422,-57064,11.26
0.6889,-72429,-4912242,-4976801,-64559,15.87
0.3770,-108208,-7480603,-7657282,-176679,24.93
0.5455,-95742,-6505025,-6665208,-160183,24.35
0.6984,-102456,-7047352,-7140237,-92885,26.92
0.8113,-124463,-8790945,-8962179,-171234,27.04
0.6479,-88271,-6144745,-6322073,-177328,18.9
0.6324,-96344,-6663239,-6810493,-147254,24.98
0.5294,-58055,-4057415,-4153546,-96131,12.6
0.6119,-110811,-7489672,-7610176,-120504,25.06
0.4694,-89339,-6052572,-6204125,-151553,18.68
0.4928,-113325,-7865750,-8041418,-175668,23.6
0.5714,-83268,-5840951,-5972024,-131073,18.32
0.6400,-66954,-4645624,-4731723,-86099,18.56
0.5303,-97251,-6863977,-7050371,-186394,21.94
0.4821,-89900,-6270242,-6430726,-160484,18.91
0.8136,-74123,-5110455,-5132113,-21658,20.63
0.6354,-132900,-9277574,-9479432,-201858,30.25
0.5357,-50905,-3388675,-3466789,-78114,11.88
0.6667,-100576,-7030791,-7257078,-226287,19.64
0.5532,-59201,-4052460,-4111379,-58919,13.18
0.9459,-47707,-3283014,-3325078,-42064,11.75
0.6471,-96684,-6715607,-6841243,-125636,22.73
0.6250,-102959,-7130573,-7264545,-133972,26.59
0.6714,-95722,-6650341,-6738473,-88132,24.13
0.6190,-88521,-6181407,-6331081,-149674,20.25
0.6538,-105890,-7337729,-7483250,-145521,28.66
0.6735,-60678,-4220922,-4306710,-85788,17.01
0.7143,-74353,-5163749,-5284195,-120446,18.01
0.6322,-120900,-8453935,-8620925,-166990,28.44
0.6667,-47177,-3221727,-3285269,-63542,11.25
0.7556,-53613,-3774318,-3895870,-121552,12.34
0.6964,-78996,-5553704,-5617888,-64184,21.02
0.5429,-46961,-3246521,-3315916,-69395,11.93
0.6111,-58814,-4024783,-4077652,-52869,13.87
0.3529,-56672,-3709245,-3805095,-95850,14.68
0.4894,-77777,-5058346,-5160144,-101798,20.62
0.6429,-96993,-6325695,-6427339,-101644,25.43
0.5000,-37567,-2635578,-2719541,-83963,12.2
0.5769,-93694,-6244305,-6334563,-90258,25.95
0.5604,-130371,-8884988,-9102831,-217843,28.91
0.7500,-85924,-6136118,-6256164,-120046,22.41
0.3898,-95932,-6709666,-6823643,-113977,21.13
0.6458,-76385,-5241802,-5329253,-87451,17.64
0.8095,-61193,-4118272,-4150070,-31798,15.93
0.6667,-92649,-6500594,-6698296,-197702,22.94
0.6327,-66031,-4728015,-4812924,-84909,14.43
0.6579,-96000,-6756004,-6877716,-121712,24.9
0.6400,-36545,-2524524,-2595772,-71248,11.8
0.7500,-79229,-5828960,-5916546,-87586,19.95
0.7397,-97451,-6912744,-7032091,-119347,22.4
0.4286,-102039,-7124988,-7332663,-207675,20.93
0.7237,-95924,-6609995,-6750049,-140054,23.59
0.7907,-55638,-3955045,-4036382,-81337,12.23
0.2571,-67558,-4584979,-4660289,-75310,12.63
0.6222,-69341,-4518339,-4586459,-68120,16.56
0.5472,-80719,-5690914,-5811770,-120856,16.51
0.5556,-85955,-6128104,-6186397,-58293,20.81
0.6364,-57238,-3937108,-3986960,-49852,13.24
0.6458,-55271,-3995995,-4075301,-79306,14.67
0.7857,-36284,-2492701,-2546303,-53602,10.69
0.8837,-44738,-3197638,-3205072,-7434,13.71
0.6667,-111909,-7718509,-7928159,-209650,28.62
0.7647,-59991,-4150085,-4214842,-64757,19.41
0.8072,-91118,-6507874,-6612281,-104407,25.02
0.6769,-90764,-6194306,-6238672,-44366,22.72
0.5556,-70293,-4888201,-4981099,-92898,18.38
0.6250,-65848,-4610978,-4697044,-86066,14.54
0.5417,-72479,-4857194,-4942742,-85548,17.79
0.6970,-93035,-6358711,-6424269,-65558,26.9
0.6418,-96414,-6529543,-6611388,-81845,27.73
0.7593,-64914,-4303546,-4367340,-63794,18.56
0.6721,-90856,-6074156,-6205816,-131660,28.16
0.5429,-53765,-3740216,-3779659,-39443,11.51
0.8594,-68014,-4847061,-4881235,-34174,19.09
0.6596,-67802,-4318817,-4336087,-17270,17.02
0.6164,-107439,-7621501,-7773702,-152201,22
0.5865,-126843,-9032499,-9346921,-314422,26.35
0.3667,-48965,-3388912,-3475197,-86285,11.13
0.5949,-114266,-7956025,-8182998,-226973,24.54
0.6382,-64864,-4663059,-4766411,-103352,15.34
